Facility name,Responsible emitter,State/Territory of operation,ANZSIC,ERC,Baseline emissions number,Covered emissions,Borrowing adjustment amount,ACCUs issued,ACCUs deemed surrendered,ACCUs surrendered,SMCs surrendered,Net emissions number,Net position number,SMCs Issued,Cumulative MYMP net emissions number,Cumulative MYMP net position number,GHG Carbon Dioxide,GHG Methane,GHG Nitrous oxide,GHG Other,Notes
South West Queensland Pipeline,APA (SWQP) PTY LIMITED,QLD; SA,Pipeline and other transport (502),0.951,"130,235 ","127,602 ", -   , -   , -   , -   , -   ," 127,602 ","-2,633 "," 2,633 ", - ,-," 105,596 "," 21,943 ", 63 , -   ,-
South West Synthetic Rutile Operations,Iluka Resources Limited,WA,Metal ore mining (080),0.951,"198,049 ","216,480 ", -   , -   , -   ," 18,431 ", -   ," 198,049 ", -   , -   , - ,-," 216,440 ", 25 , 9 , 6 ,-
Spring Gully Reedy Creek Combabula,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,QLD,Oil and gas extraction (070),0.951,"385,402 ","303,641 ", -   , -   , -   , -   , -   ," 303,641 ","-81,761 "," 81,761 ", - ,-," 188,570 "," 114,602 ", 271 , 198 ,-
Start up and Operations of the Ichthys LNG Project,INPEX Operations Australia Pty Ltd,NT,Oil and gas extraction (070),0.951,"7,467,861 ","6,698,961 ", -   , -   , -   , -   , -   ," 6,698,961 ","-768,900 "," 768,900 ", - ,-," 6,540,381 "," 151,418 "," 4,812 "," 2,350 ",-
Sunrise Dam,AngloGold Ashanti Australia Limited,WA,Metal ore mining (080),0.951,"146,998 ","165,796 ", -   , -   , -   ," 18,798 ", -   ," 146,998 ", -   , -   , - ,-," 165,261 ", 301 , 217 , 17 ,-
TAHMOOR COAL MINE,TAHMOOR COAL PTY LTD,NSW,Coal mining (060),0.951,"1,354,765 ","1,084,992 ", -   , -   , -   , -   , -   ," 1,084,992 ","-269,773 "," 269,773 ", - ,-," 207,841 "," 876,899 ", 247 , 5 ,-
Telfer Gold Mine,Newcrest Mining Limited,WA,Metal ore mining (080),0.951,"291,043 ","353,943 ", -   , -   , -   ," 62,900 ", -   ," 291,043 ", -   , -   , - ,-," 352,809 ", 621 , 490 , 23 ,-
Thunderbox Operations,NORTHERN STAR (THUNDERBOX) PTY LTD,WA,Metal ore mining (080),0.951,"170,892 ","174,100 ", -   , -   , -   ," 3,208 ", -   ," 170,892 ", -   , -   , - ,-," 173,507 ", 294 , 297 , 2 ,-
Tom Price Mine / WTS,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.951,"161,334 ","183,325 ", -   , -   , -   ," 21,991 ", -   ," 161,334 ", -   , -   , - ,-," 182,516 ", 261 , 548 , -   ,-
Tomago Aluminium Smelter,TOMAGO ALUMINIUM COMPANY PTY LTD,NSW,Basic non-ferrous metal manufacturing (213),0.951,"1,102,992 ","1,159,663 ", -   , -   , -   ," 56,671 ", -   ," 1,102,992 ", -   , -   , - ,-," 1,018,685 ", 166 , 66 ," 140,746 ",-
Tropicana Gold Mine,AngloGold Ashanti Australia Limited,WA,Metal ore mining (080),0.951,"290,437 ","306,196 ", -   , -   , -   ," 15,759 ", -   ," 290,437 ", -   , -   , - ,-," 305,132 ", 504 , 553 , 7 ,-
TT-Line - Victorian Operation,TT-Line Company Pty. Ltd.,VIC,Water passenger transport (482),0.951,"125,468 ","165,384 ", -   ," 19,657 "," 14,395 "," 45,178 ", -   ," 125,468 ", -   , -   , - ,-," 164,258 ", 233 , 893 , -   ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
United Coal Mine,UNITED COLLIERIES PTY LTD,NSW,Coal mining (060),0.951,"190,293 ","433,266 ", -   , -   , -   ," 52,973 "," 190,000 "," 190,293 ", -   , -   , - ,-," 207,107 "," 225,590 ", 569 , -   ,-
V/Line,V/Line Corporation,VIC,Rail passenger transport (472),0.951,"159,585 ","138,625 ", -   , -   , -   , -   , -   ," 138,625 ","-20,960 "," 20,960 ", - ,-," 137,643 ", 190 , 792 , -   ,-
Varanus Hub,Santos Limited,WA,Oil and gas extraction (070),0.951,"237,234 ","281,036 ", -   , -   , -   ," 43,802 ", -   ," 237,234 ", -   , -   , - ,-," 250,136 "," 30,406 ", 494 , -   ,-
Vincent Project Venture,Woodside Energy Ltd.,WA,Oil and gas extraction (070),0.951,"263,351 ","280,795 ", -   , -   , -   ," 17,445 ", -   ," 263,350 ",-1 , -   , - ,-," 257,844 "," 22,396 ", 555 , -   ,-
Virgin Australia Holdings National Transport Facility,VIRGIN AUSTRALIA HOLDINGS LIMITED,National,Air and space transport (490),0.951,"2,170,511 ","2,103,081 ", -   , -   , -   , -   , -   ," 2,103,081 ","-67,430 "," 67,430 ", - ,-," 2,084,817 ", 302 ," 17,962 ", -   ,-
Wagerup Alumina Refinery,Alcoa of Australia Limited,WA,Basic non-ferrous metal manufacturing (213),0.951,"1,280,185 ","1,343,954 ", -   , -   , -   ," 37,271 "," 26,498 "," 1,280,185 ", -   , -   , - ,-," 1,340,460 "," 2,655 ", 823 , 16 ,-
Wambo Coal Mine,WAMBO COAL PTY LIMITED,NSW,Coal mining (060),0.951,"244,508 ","162,094 ", -   , -   , -   , -   , -   ," 162,094 ","-82,414 "," 82,414 ", - ,-," 25,208 "," 136,852 ", 28 , 6 ,-
Warkworth Mine,Warkworth Mining Ltd,NSW,Coal mining (060),0.951,"795,576 ","966,843 ", -   , -   , -   ," 171,267 ", -   ," 795,576 ", -   , -   , - ,-," 353,927 "," 611,940 ", 967 , 9 ,-
West Angelas Mine,Robe River Mining Co. Pty. Ltd.,WA,Metal ore mining (080),0.951,"208,498 ","265,099 ", -   , -   , -   ," 56,601 ", -   ," 208,498 ", -   , -   , - ,-," 263,959 ", 377 , 763 , -   ,-
Western Australia,Alliance Aviation Services Limited,WA,Air and space transport (490),0.951,"100,000 ","110,489 ", -   , -   , -   ," 10,489 ", -   ," 100,000 ", -   , -   , - ,-," 109,530 ", 16 , 943 , -   ,-
Western Port Works,BlueScope Steel Limited,VIC,Basic ferrous metal manufacturing (211),0.951,"100,000 ","107,642 ", -   , -   , -   , -   ," 7,642 "," 100,000 ", -   , -   , - ,-," 107,342 ", 193 , 91 , 16 ,-
Wheatstone Operations,CHEVRON AUSTRALIA PTY LTD,WA,Oil and gas extraction (070),0.951,"4,299,587 ","4,065,836 ", -   , -   , -   , -   , -   ," 4,065,836 ","-233,751 "," 233,751 ", - ,-," 3,772,123 "," 287,191 "," 5,977 ", 545 ,-
Wilpinjong Coal Mine,WILPINJONG COAL PTY LTD,NSW,Coal mining (060),0.951,"148,354 ","162,960 ", -   , -   , -   ," 14,606 ", -   ," 148,354 ", -   , -   , - ,-," 159,714 "," 2,838 ", 403 , 5 ,-
Wodgina Operations,MARBL Lithium Operations Pty Ltd,WA,Metal ore mining (080),0.951,"150,054 ","166,859 ", -   , -   , -   ," 16,805 ", -   ," 150,054 ", -   , -   , - ,-," 166,274 ", 275 , 303 , 7 ,-
WOR01,South32 Worsley Alumina Pty Ltd,WA,Basic non-ferrous metal manufacturing (213),0.951,"3,295,004 ","3,177,815 ", -   , -   , -   , -   , -   ," 3,177,815 ","-117,189 "," 117,189 ", - ,-," 3,168,745 "," 3,364 "," 5,381 ", 325 ,-
YAN01 Yandi/Marillana Creek Mine - MNG Facility,BHP IRON ORE PTY LTD,WA,Metal ore mining (080),0.951,"100,000 ","107,160 ", -   , -   , -   ," 7,160 ", -   ," 100,000 ", -   , -   , - ,-," 106,625 ", 152 , 333 , 50 ,-
Yandicoogina Mine,Hamersley Iron - Yandi Pty Limited,WA,Metal ore mining (080),0.951,"141,890 ","151,438 ", -   , -   , -   ," 9,548 ", -   ," 141,890 ", -   , -   , - ,-," 150,786 ", 215 , 437 , -   ,-
Yarnima Power Station,BHP IRON ORE PTY LTD,WA,Electricity generation (261),0.951,"328,998 ","347,643 ", -   , -   , -   ," 18,645 ", -   ," 328,998 ", -   , -   , - ,-," 346,706 ", 706 , 231 , -   ,-
Yarrabee Coal Mine (Open Cut),YARRABEE COAL COMPANY PTY. LTD.,QLD,Coal mining (060),0.951,"136,622 ","183,809 ", -   , -   , -   ," 47,187 ", -   ," 136,622 ", -   , -   , - ,-," 113,339 "," 70,142 ", 328 , -   ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Yarwun Nitrates,ORICA AUSTRALIA PTY LTD,QLD,Other basic chemical product manufacturing (189),0.951,"300,013 ","377,339 ", -   , -   , -   , -   , -   ," 377,339 ","77,326 ", -   ," 377,339 ","77,326 "," 7,072 ", 13 ," 370,254 ", -   ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
YPF AMMONIA PLANT,Yara Pilbara Fertilisers Pty Ltd,WA,Fertiliser and pesticide manufacturing (183),0.99,"1,356,400 ","1,366,029 ", -   , -   , -   ," 9,629 ", -   ," 1,356,400 ", -   , -   , - ,-," 1,365,061 ", 743 , 225 , -   ,-
